"Indexcd","Idxtrd01","Idxtrd08"
"000300","2010-06-01","-1.049300"
"000300","2010-06-02","0.487200"
"000300","2010-06-03","-0.777900"
"000300","2010-06-04","0.303700"
"000300","2010-06-07","-1.773400"
"000300","2010-06-08","0.134300"
"000300","2010-06-09","3.067000"
"000300","2010-06-10","-1.154200"
"000300","2010-06-11","0.321800"
"000300","2010-06-17","-0.585000"
"000300","2010-06-18","-1.697600"
"000300","2010-06-21","3.133700"
"000300","2010-06-22","0.110000"
"000300","2010-06-23","-0.906000"
"000300","2010-06-24","-0.036300"
"000300","2010-06-25","-0.769200"
"000300","2010-06-28","-0.713000"
"000300","2010-06-29","-4.592200"
"000300","2010-06-30","-1.116900"
"000300","2010-07-01","-1.443600"
"000300","2010-07-02","0.318300"
"000300","2010-07-05","-0.846800"
"000300","2010-07-06","1.999900"
"000300","2010-07-07","0.685900"
"000300","2010-07-08","-0.176700"
"000300","2010-07-09","2.763300"
"000300","2010-07-12","1.100100"
"000300","2010-07-13","-1.555600"
"000300","2010-07-14","0.721900"
"000300","2010-07-15","-1.699200"
"000300","2010-07-16","0.291700"
"000300","2010-07-19","2.535800"
"000300","2010-07-20","2.200600"
"000300","2010-07-21","0.213000"
"000300","2010-07-22","1.235700"
"000300","2010-07-23","0.423900"
"000300","2010-07-26","0.643700"
"000300","2010-07-27","-0.545700"
"000300","2010-07-28","2.432300"
"000300","2010-07-29","0.498000"
"000300","2010-07-30","-0.317200"
"000300","2010-08-02","1.688100"
"000300","2010-08-03","-1.758800"
"000300","2010-08-04","0.365000"
"000300","2010-08-05","-0.890000"
"000300","2010-08-06","1.642700"
"000300","2010-08-09","0.710200"
"000300","2010-08-10","-2.933300"
"000300","2010-08-11","0.620300"
"000300","2010-08-12","-1.186600"
"000300","2010-08-13","1.390400"
"000300","2010-08-16","2.329800"
"000300","2010-08-17","0.691600"
"000300","2010-08-18","-0.167600"
"000300","2010-08-19","0.614200"
"000300","2010-08-20","-1.931000"
"000300","2010-08-23","-0.073800"
"000300","2010-08-24","0.540000"
"000300","2010-08-25","-2.363100"
"000300","2010-08-26","0.248700"
"000300","2010-08-27","0.297500"
"000300","2010-08-30","1.974400"
"000300","2010-08-31","-0.405500"
"000300","2010-09-01","-0.659600"
"000300","2010-09-02","1.295100"
"000300","2010-09-03","-0.040400"
"000300","2010-09-06","1.879300"
"000300","2010-09-07","0.269600"
"000300","2010-09-08","-0.071700"
"000300","2010-09-09","-1.828600"
"000300","2010-09-10","0.208100"
"000300","2010-09-13","1.015200"
"000300","2010-09-14","0.090800"
"000300","2010-09-15","-1.747700"
"000300","2010-09-16","-1.901700"
"000300","2010-09-17","0.125300"
"000300","2010-09-20","-0.403300"
"000300","2010-09-21","0.268400"
"000300","2010-09-27","1.664100"
"000300","2010-09-28","-0.830300"
"000300","2010-09-29","-0.211700"
"000300","2010-09-30","2.113500"
"000300","2010-10-08","3.701500"
"000300","2010-10-11","2.912700"
"000300","2010-10-12","1.271300"
"000300","2010-10-13","1.413600"
"000300","2010-10-14","0.203900"
"000300","2010-10-15","3.211400"
"000300","2010-10-18","-0.646700"
"000300","2010-10-19","2.102400"
"000300","2010-10-20","0.628300"
"000300","2010-10-21","-0.653200"
"000300","2010-10-22","0.117600"
"000300","2010-10-25","3.031400"
"000300","2010-10-26","-0.430900"
"000300","2010-10-27","-1.794800"
"000300","2010-10-28","-0.181600"
"000300","2010-10-29","-0.521200"
"000300","2010-11-01","2.752100"
"000300","2010-11-02","-0.284200"
"000300","2010-11-03","-1.235600"
"000300","2010-11-04","1.759200"
"000300","2010-11-05","1.157600"
"000300","2010-11-08","0.788700"
"000300","2010-11-09","-0.693800"
"000300","2010-11-10","-0.704900"
"000300","2010-11-11","0.310700"
"000300","2010-11-12","-6.215100"
"000300","2010-11-15","0.700500"
"000300","2010-11-16","-4.384800"
"000300","2010-11-17","-2.070600"
"000300","2010-11-18","1.419200"
"000300","2010-11-19","0.981300"
"000300","2010-11-22","-0.217400"
"000300","2010-11-23","-2.041700"
"000300","2010-11-24","2.248300"
"000300","2010-11-25","1.461700"
"000300","2010-11-26","-0.888200"
"000300","2010-11-29","-0.150200"
"000300","2010-11-30","-1.663300"
"000300","2010-12-01","-0.030900"
"000300","2010-12-02","0.607100"
"000300","2010-12-03","0.098300"
"000300","2010-12-06","0.234600"
"000300","2010-12-07","1.098400"
"000300","2010-12-08","-0.889300"
"000300","2010-12-09","-1.529400"
"000300","2010-12-10","1.236200"
"000300","2010-12-13","3.133500"
"000300","2010-12-14","0.257900"
"000300","2010-12-15","-0.667700"
"000300","2010-12-16","-0.522500"
"000300","2010-12-17","-0.155100"
"000300","2010-12-20","-1.457100"
"000300","2010-12-21","2.228900"
"000300","2010-12-22","-1.048200"
"000300","2010-12-23","-0.834700"
"000300","2010-12-24","-0.804400"
"000300","2010-12-27","-1.999700"
"000300","2010-12-28","-1.767300"
"000300","2010-12-29","0.555000"
"000300","2010-12-30","0.074100"
"000300","2010-12-31","2.093900"
"000300","2011-01-04","1.963400"
"000300","2011-01-05","-0.439500"
"000300","2011-01-06","-0.504500"
"000300","2011-01-07","0.220900"
"000300","2011-01-10","-1.845200"
"000300","2011-01-11","0.538300"
"000300","2011-01-12","0.557500"
"000300","2011-01-13","-0.033700"
"000300","2011-01-14","-1.573200"
"000300","2011-01-17","-3.800600"
"000300","2011-01-18","0.110900"
"000300","2011-01-19","2.256800"
"000300","2011-01-20","-3.288800"
"000300","2011-01-21","1.315900"
"000300","2011-01-24","-0.979700"
"000300","2011-01-25","-0.527400"
"000300","2011-01-26","1.353700"
"000300","2011-01-27","1.612900"
"000300","2011-01-28","0.339300"
"000300","2011-01-31","1.309600"
"000300","2011-02-01","0.025000"
"000300","2011-02-09","-1.180600"
"000300","2011-02-10","2.078600"
"000300","2011-02-11","0.541200"
"000300","2011-02-14","3.145800"
"000300","2011-02-15","-0.045700"
"000300","2011-02-16","0.959100"
"000300","2011-02-17","-0.080700"
